scenario,state_only_fail,history_fail
frozen_02,0.976,0.956
frozen_05,1.000,0.876
frozen_06,0.956,0.864
frozen_08,0.768,0.136
frozen_10,0.800,0.632
frozen_11,0.992,0.528
frozen_18,0.972,0.928
frozen_22,0.884,0.368
frozen_26,0.824,0.604
frozen_29,0.980,0.964
frozen_31,0.968,0.904
frozen_32,0.984,0.732
frozen_38,0.924,0.828
frozen_44,0.848,0.344
frozen_47,0.840,0.420
frozen_50,0.980,0.836
frozen_52,0.972,0.924
frozen_57,0.880,0.492
frozen_63,0.952,0.848
frozen_64,0.848,0.272
frozen_66,0.992,0.976
frozen_68,0.912,0.868
frozen_69,0.988,0.984
frozen_71,0.688,0.436
frozen_72,0.976,0.820
frozen_73,0.992,0.960
frozen_74,0.980,0.888
frozen_75,0.960,0.792
frozen_76,0.880,0.536
frozen_78,0.892,0.548
frozen_83,0.972,0.908
frozen_85,0.948,0.844
frozen_86,0.972,0.936
frozen_87,0.824,0.380
frozen_92,0.924,0.552
frozen_95,0.784,0.640
